holdings,cash,total,Date
0.0,26543.994709885043,26543.994709885043,2024-05-08
0.0,26543.994709885043,26543.994709885043,2024-05-09
0.0,26543.994709885043,26543.994709885043,2024-05-10
26544.149916988627,-26.5439947098821,26517.605922278744,2024-05-11
26830.002173623507,-26.5439947098821,26803.458178913625,2024-05-12
27464.444468193018,-26.5439947098821,27437.900473483136,2024-05-13
0.0,27410.141260024928,27410.141260024928,2024-05-14
0.0,27410.141260024928,27410.141260024928,2024-05-15
0.0,27410.141260024928,27410.141260024928,2024-05-16
0.0,27410.141260024928,27410.141260024928,2024-05-17
0.0,27410.141260024928,27410.141260024928,2024-05-18
27140.0596877502,-27.41014126002119,27112.64954649018,2024-05-19
29257.031632622915,-27.41014126002119,29229.621491362894,2024-05-20
28719.923637101252,-27.41014126002119,28692.51349584123,2024-05-21
28304.62491318402,-27.41014126002119,28277.214771924,2024-05-22
27816.2009573534,-27.41014126002119,27788.79081609338,2024-05-23
28060.47531789284,-27.41014126002119,28033.06517663282,2024-05-24
28363.4309335284,-27.41014126002119,28336.02079226838,2024-05-25
28057.196231239974,-27.41014126002119,28029.786089979953,2024-05-26
28416.094664727905,-27.41014126002119,28388.684523467884,2024-05-27
27966.341537638604,-27.41014126002119,27938.931396378583,2024-05-28
0.0,27911.019385307896,27911.019385307896,2024-05-29
28236.862134728242,-27.911019385304826,28208.951115342938,2024-05-30
27876.047274808614,-27.911019385304826,27848.13625542331,2024-05-31
27965.065139021914,-27.911019385304826,27937.15411963661,2024-06-01
27983.51278210407,-27.911019385304826,27955.601762718765,2024-06-02
28418.50865773398,-27.911019385304826,28390.597638348674,2024-06-03
29146.675884112406,-27.911019385304826,29118.7648647271,2024-06-04
29359.40944462969,-27.911019385304826,29331.498425244386,2024-06-05
29224.90331305079,-27.911019385304826,29196.992293665484,2024-06-06
28640.63867384952,-27.911019385304826,28612.727654464215,2024-06-07
0.0,28576.49226601698,28576.49226601698,2024-06-08
0.0,28576.49226601698,28576.49226601698,2024-06-09
28522.31713155072,-28.576492266012792,28493.740639284708,2024-06-10
27627.71576316212,-28.576492266012792,27599.139270896107,2024-06-11
0.0,27567.143449302854,27567.143449302854,2024-06-12
0.0,27567.143449302854,27567.143449302854,2024-06-13
0.0,27567.143449302854,27567.143449302854,2024-06-14
0.0,27567.143449302854,27567.143449302854,2024-06-15
27754.43336926755,-27.56714344930151,27726.86622581825,2024-06-16
27692.48062298319,-27.56714344930151,27664.913479533887,2024-06-17
27130.40749929483,-27.56714344930151,27102.84035584553,2024-06-18
0.0,27078.170627480074,27078.170627480074,2024-06-19
0.0,27078.170627480074,27078.170627480074,2024-06-20
0.0,27078.170627480074,27078.170627480074,2024-06-21
27136.756150413697,-27.07817062747563,27109.677979786222,2024-06-22
0.0,27081.016698358995,27081.016698358995,2024-06-23
0.0,27081.016698358995,27081.016698358995,2024-06-24
27772.287755048794,-27.081016698357416,27745.206738350436,2024-06-25
27325.913977720895,-27.081016698357416,27298.832961022537,2024-06-26
27682.48851684557,-27.081016698357416,27655.407500147212,2024-06-27
27105.216977823173,-27.081016698357416,27078.135961124815,2024-06-28
27360.110673486557,-27.081016698357416,27333.0296567882,2024-06-29
28164.86870112558,-27.081016698357416,28137.78768442722,2024-06-30
28242.916226047255,-27.081016698357416,28215.835209348897,2024-07-01
27873.11201358382,-27.081016698357416,27846.030996885464,2024-07-02
27039.51445656231,-27.081016698357416,27012.43343986395,2024-07-03
25603.274297968517,-27.081016698357416,25576.19328127016,2024-07-04
25461.579704549626,-27.081016698357416,25434.49868785127,2024-07-05
0.0,25407.55536542451,25407.55536542451,2024-07-06
0.0,25407.55536542451,25407.55536542451,2024-07-07
25796.75724222954,-25.407555365422013,25771.34968686412,2024-07-08
26390.042470500328,-25.407555365422013,26364.634915134906,2024-07-09
0.0,26349.45048328358,26349.45048328358,2024-07-10
26173.736987882887,-26.349450483281544,26147.387537399605,2024-07-11
26426.84864620786,-26.349450483281544,26400.49919572458,2024-07-12
0.0,26378.300756825756,26378.300756825756,2024-07-13
0.0,26378.300756825756,26378.300756825756,2024-07-14
0.0,26378.300756825756,26378.300756825756,2024-07-15
0.0,26378.300756825756,26378.300756825756,2024-07-16
0.0,26378.300756825756,26378.300756825756,2024-07-17
0.0,26378.300756825756,26378.300756825756,2024-07-18
0.0,26378.300756825756,26378.300756825756,2024-07-19
0.0,26378.300756825756,26378.300756825756,2024-07-20
0.0,26378.300756825756,26378.300756825756,2024-07-21
0.0,26378.300756825756,26378.300756825756,2024-07-22
0.0,26378.300756825756,26378.300756825756,2024-07-23
0.0,26378.300756825756,26378.300756825756,2024-07-24
0.0,26378.300756825756,26378.300756825756,2024-07-25
0.0,26378.300756825756,26378.300756825756,2024-07-26
0.0,26378.300756825756,26378.300756825756,2024-07-27
0.0,26378.300756825756,26378.300756825756,2024-07-28
0.0,26378.300756825756,26378.300756825756,2024-07-29
0.0,26378.300756825756,26378.300756825756,2024-07-30
0.0,26378.300756825756,26378.300756825756,2024-07-31
0.0,26378.300756825756,26378.300756825756,2024-08-01
0.0,26378.300756825756,26378.300756825756,2024-08-02
0.0,26378.300756825756,26378.300756825756,2024-08-03
0.0,26378.300756825756,26378.300756825756,2024-08-04
24508.6149694455,-26.37830075682359,24482.236668688678,2024-08-05
25435.940450393682,-26.37830075682359,25409.56214963686,2024-08-06
24978.893458696613,-26.37830075682359,24952.51515793979,2024-08-07
28012.39425111823,-26.37830075682359,27986.015950361405,2024-08-08
27635.617517096605,-26.37830075682359,27609.23921633978,2024-08-09
27665.440695515466,-26.37830075682359,27639.062394758643,2024-08-10
26654.832317606884,-26.37830075682359,26628.45401685006,2024-08-11
26943.09526244291,-26.37830075682359,26916.716961686085,2024-08-12
27512.80680675175,-26.37830075682359,27486.428505994925,2024-08-13
26662.905623471743,-26.37830075682359,26636.52732271492,2024-08-14
0.0,26608.046949793945,26608.046949793945,2024-08-15
0.0,26608.046949793945,26608.046949793945,2024-08-16
0.0,26608.046949793945,26608.046949793945,2024-08-17
0.0,26608.046949793945,26608.046949793945,2024-08-18
0.0,26608.046949793945,26608.046949793945,2024-08-19
0.0,26608.046949793945,26608.046949793945,2024-08-20
0.0,26608.046949793945,26608.046949793945,2024-08-21
26265.964124676495,-26.60804694979015,26239.356077726705,2024-08-22
27880.865777025487,-26.60804694979015,27854.257730075697,2024-08-23
27917.682513507487,-26.60804694979015,27891.074466557697,2024-08-24
27984.911672085524,-26.60804694979015,27958.303625135733,2024-08-25
27352.911702840032,-26.60804694979015,27326.303655890242,2024-08-26
25884.131730328263,-26.60804694979015,25857.523683378473,2024-08-27
25676.8521615604,-26.60804694979015,25650.24411461061,2024-08-28
0.0,25624.499362103372,25624.499362103372,2024-08-29
0.0,25624.499362103372,25624.499362103372,2024-08-30
0.0,25624.499362103372,25624.499362103372,2024-08-31
0.0,25624.499362103372,25624.499362103372,2024-09-01
0.0,25624.499362103372,25624.499362103372,2024-09-02
0.0,25624.499362103372,25624.499362103372,2024-09-03
25865.9702814026,-25.624499362100323,25840.3457820405,2024-09-04
25057.90849033268,-25.624499362100323,25032.28399097058,2024-09-05
24071.068110738324,-25.624499362100323,24045.443611376224,2024-09-06
24156.259615768653,-25.624499362100323,24130.635116406553,2024-09-07
24469.426718519415,-25.624499362100323,24443.802219157315,2024-09-08
25441.201418180015,-25.624499362100323,25415.576918817915,2024-09-09
25721.92955344731,-25.624499362100323,25696.30505408521,2024-09-10
25585.602927688553,-25.624499362100323,25559.978428326453,2024-09-11
25935.339685271585,-25.624499362100323,25909.715185909485,2024-09-12
27025.94223390532,-25.624499362100323,27000.31773454322,2024-09-13
26773.321944576444,-25.624499362100323,26747.697445214344,2024-09-14
26406.43150560655,-25.624499362100323,26380.80700624445,2024-09-15
25964.562991084786,-25.624499362100323,25938.938491722685,2024-09-16
26908.70217234769,-25.624499362100323,26883.07767298559,2024-09-17
27507.097593798066,-25.624499362100323,27481.473094435965,2024-09-18
28083.02172748977,-25.624499362100323,28057.39722812767,2024-09-19
28195.691889372905,-25.624499362100323,28170.067390010805,2024-09-20
28285.76004554329,-25.624499362100323,28260.13554618119,2024-09-21
28399.03325292123,-25.624499362100323,28373.408753559128,2024-09-22
28256.740659738447,-25.624499362100323,28231.116160376347,2024-09-23
28690.50640401356,-25.624499362100323,28664.881904651458,2024-09-24
28173.457636837626,-25.624499362100323,28147.833137475525,2024-09-25
0.0,28117.61033081315,28117.61033081315,2024-09-26
0.0,28117.61033081315,28117.61033081315,2024-09-27
